CSA2010,teenbir15,hhpov15,phisp15,ppac15
Allendale/Irvington/S. Hilton,33.63914373,24.14712154,1.560945274,0.043532338
Beechfield/Ten Hills/West Hills,37.43315508,11.16965227,2.838526064,0.434391851
Belair-Edison,28.37837838,18.61207126,0.744615385,0.215384615
Brooklyn/Curtis Bay/Hawkins Point,54.37352246,28.35956416,11.32913989,1.148639409
Canton,0,2.9986053,4.919678715,0.238453815
Cedonia/Frankford,35.26734926,16.85602533,3.805746593,0.282688494
Cherry Hill,54.75504323,45.53299492,4.659875893,0.257581079
Chinquapin Park/Belvedere,29.53586498,8.852459016,5.540199495,0
Claremont/Armistead,48.87218045,21.26623377,10.30964954,0.576092175
Clifton-Berea,35.98971722,23.62606232,2.246523238,0.499227386
Cross-Country/Cheswolde,6.651884701,8.116545265,2.040525114,0.749143836
Dickeyville/Franklintown,21.12676056,21.18863049,1.988862371,1.246353752
Dorchester/Ashburton,25.82159624,18.81679389,0.017008249,0.535759844
Downtown/Seton Hill,10.86956522,5.454545455,5.462540166,2.672078471
Edmondson Village,33.95061728,15.98339388,1.318860878,0.840336134
Fells Point,11.11111111,6.164383562,13.90811831,0.440528634
Forest Park/Walbrook,37.23404255,20.34058657,1.406284333,0.12085256
Glen-Fallstaff,17.14285714,19.79638009,5.746329055,1.508844953
Greater Charles Village/Barclay,5.813953488,23.84708738,5.200531529,0.94829669
Greater Govans,46.34146341,21.31557036,2.304404386,0
Greater Mondawmin,16.10017889,18.3074266,0.430848772,0.269280483
Greater Roland Park/Poplar Hill,0,3.752759382,2.939632546,0.721784777
Greater Rosemont,39.80099502,21.32921175,1.452242339,0.108758237
Greenmount East,38.56749311,25.82099163,1.911324925,0.234039787
Hamilton,16.84210526,8.697007481,1.490324016,0.504189219
Harbor East/Little Italy,28.16901408,38.10444874,8.695652174,0.159066808
Harford/Echodale,31.68316832,9.341709915,3.348572841,0.432472507
Highlandtown,68.96551724,9.559939302,17.11588453,0.095772335
Howard Park/West Arlington,14.00560224,19.54986761,0.663318488,0.464322941
Inner Harbor/Federal Hill,10,7.52857706,4.672967297,0.180018002
Lauraville,18.26484018,9.356101032,2.351596309,1.379929779
Loch Raven,26.11940299,12.1056493,1.753672841,0.005806864
Madison/East End,53.16455696,32.82387191,7.009994448,1.388117712
Medfield/Hampden/Woodberry/Remington,36.76470588,7.138744963,4.517900034,0.308818483
Midtown,3.205128205,7.571660357,5.772823916,0.322144192
Midway/Coldstream,32.71028037,25.79162411,1.998717401,0.309961522
Morrell Park/Violetville,73.89162562,12.50777847,6.648800408,0.140377744
Mount Washington/Coldspring,0,5.055698372,3.544994157,0.370081808
North Baltimore/Guilford/Homeland,0.780640125,5.824915825,3.588475473,0.603830007
Northwood,6.696428571,7.974530018,2.678624108,0.289102602
Oldtown/Middle East,44.51038576,44.38502674,1.173936457,0.172320948
Orangeville/East Highlandtown,126.2626263,13.06921676,31.88715953,2.354085603
Patterson Park North & East,59.70149254,26.28062361,15.52700649,0.635446885
Penn North/Reservoir Hill,32.35294118,29.26455567,1.853252648,0.784795764
Pimlico/Arlington/Hilltop,56.37254902,17.44186047,0.898511039,0
Poppleton/The Terraces/Hollins Market,47.61904762,48.72093023,1.810414972,0.081366965
Sandtown-Winchester/Harlem Park,39.68253968,35.84777438,0.380203634,1.185719809
South Baltimore,0,3.701015965,5.01620403,0.112723686
Southeastern,48.54368932,26.25656414,21.86996239,1.558301988
Southern Park Heights,24.20856611,35.93103448,2.678990021,0.033487375
Southwest Baltimore,37.90849673,32.98368298,6.167940713,0.752757192
The Waverlies,26.78571429,14.27672956,1.269881991,3.155464341
Upton/Druid Heights,39.47368421,46.64664665,0.506404528,0.287955516
Washington Village/Pigtown,40.69767442,24.74032106,2.357343312,0
Westport/Mount Winans/Lakeland,45.80152672,23.70555209,5.627332759,0.057421763
