CSA2010,teenbir17,hhpov17,phsip17,ppac17
Allendale/Irvington/S. Hilton,29.05198777,20.69506141,2.062656941,0
Beechfield/Ten Hills/West Hills,16.04278075,10.47490738,1.784780823,0.313643492
Belair-Edison,21.62162162,20.2745771,1.242807825,0.81127733
Brooklyn/Curtis Bay/Hawkins Point,68.55791962,24.21360644,14.90697674,1.310077519
Canton,0,3.661784288,3.08671631,0.564496757
Cedonia/Frankford,27.30375427,12.18214075,3.324558424,0.067934783
Cherry Hill,25.93659942,39.33701657,5.813088746,0
Chinquapin Park/Belvedere,21.09704641,10.12591815,5.940828402,0
Claremont/Armistead,33.83458647,24,15.24841721,0.611653611
Clifton-Berea,25.70694087,27.64952781,2.03497965,0.06599934
Cross-Country/Cheswolde,0,9.894121942,2.660891089,0.502784653
Dickeyville/Franklintown,14.08450704,17.40890688,1.79576521,0.804073975
Dorchester/Ashburton,16.43192488,17.44510978,0.984420476,0.3509673
Downtown/Seton Hill,54.34782609,6.818181818,4.959436706,4.194091535
Edmondson Village,24.69135802,8.887733888,1.31127451,0.784313725
Fells Point,0,3.263546798,11.03755155,0.35815064
Forest Park/Walbrook,13.29787234,19.26267281,1.024025207,0.049231981
Glen-Fallstaff,20.95238095,17.76393832,4.499183109,0.785471912
Greater Charles Village/Barclay,8.720930233,18.99141631,5.189803778,0.996393423
Greater Govans,31.70731707,19.53226505,1.948717949,0.111888112
Greater Mondawmin,14.31127013,18.76832845,1.023214875,0.429090109
Greater Roland Park/Poplar Hill,0,2.146892655,3.26557377,0.957377049
Greater Rosemont,27.36318408,23.63387978,0.645607563,0.23057413
Greenmount East,24.79338843,24.20062696,1.973767987,0.203743792
Hamilton,12.63157895,8.997655334,1.637097937,0.432713111
Harbor East/Little Italy,21.12676056,26.85827552,14.69552974,0.404787047
Harford/Echodale,17.82178218,10.15709642,3.253191226,0
Highlandtown,43.10344828,6.652512385,16.86115117,0
Howard Park/West Arlington,25.21008403,15.47186933,0.777728679,0.159080866
Inner Harbor/Federal Hill,10,2.33570863,5.254249761,1.000809478
Lauraville,11.41552511,7.488679902,3.879204518,2.226041411
Loch Raven,20.52238806,5.385029618,2.027422946,0.984413454
Madison/East End,37.97468354,33.74233129,8.936428463,1.365498407
Medfield/Hampden/Woodberry/Remington,22.05882353,5.980484734,3.664505078,0.312002936
Midtown,9.615384615,5.419489317,6.083501596,0.683905426
Midway/Coldstream,28.03738318,22.60387812,1.410298459,0.295178747
Morrell Park/Violetville,68.96551724,12.80853903,9.410075698,0.548159749
Mount Washington/Coldspring,0,1.996370236,4.23439695,0
North Baltimore/Guilford/Homeland,1.56128025,3.482899278,3.854606932,0.726965342
Northwood,6.696428571,6.609017912,4.087333257,0.541557405
Oldtown/Middle East,20.77151335,40.12629162,1.604390965,0.189993667
Orangeville/East Highlandtown,85.85858586,13.23671498,35.22737841,2.278433925
Patterson Park North & East,17.41293532,21.68766705,14.01664786,0.246896163
Penn North/Reservoir Hill,26.47058824,25.9645464,2.876336456,0.662314315
Pimlico/Arlington/Hilltop,24.50980392,19.1190253,0.567697985,0.236540827
Poppleton/The Terraces/Hollins Market,23.80952381,44.97237569,1.36532892,0.103434009
Sandtown-Winchester/Harlem Park,33.33333333,35.04508036,0.333232354,1.295062102
South Baltimore,15.38461538,0.826446281,3.973054715,0.109980753
Southeastern,33.98058252,30.28169014,25.59178944,0.546267174
Southern Park Heights,26.0707635,31.62575596,1.885150812,0.0362529
Southwest Baltimore,37.90849673,35.78324509,6.732767322,1.07463041
The Waverlies,49.10714286,20.51435407,3.723854431,2.937976061
Upton/Druid Heights,47.36842105,42.98245614,0.636630754,0.450538688
Washington Village/Pigtown,23.25581395,22.57425743,2.646677772,0
Westport/Mount Winans/Lakeland,49.61832061,21.82284981,7.472201631,0
