FID,CSA2010,compl10,compl11,compl12,compl13,compl14,compl15,compl16,compl17,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,80.34934,83.94,78.13953,82.68156,86.294416,77.647059,75.510204,75.141243,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,85.86957,80.34,82.05128,89.2562,89.423077,86.792453,86.111111,68,37524.9505333862,47882527.7112373
3,Belair-Edison,82.85714,79.91,77.39464,82.18623,81.568627,80,84.234234,79.5,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,78.46154,75.38,70.5036,74.78261,78,69.411765,74.747475,78.448276,150987.70363871,176077742.748461
5,Canton,75,66.67,100,80,80,75,80,50,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,82.11921,82.29,83.86076,81.84818,84.453782,85.770751,83.534137,79.497908,39962.5498346887,71541340.306082
7,Cherry Hill,76.40449,85.29,84.44444,77.31092,78.846154,66.990291,71.276596,77.419355,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,76.38889,84.09,82.43243,86.58537,80.882353,87.037037,81.967213,77.464789,21705.411630324,21022590.1303212
9,Claremont/Armistead,80.32787,81.48,78.37838,76.82927,81.15942,77.52809,80,75.454545,40104.4159801772,61243774.4204004
10,Clifton-Berea,77.69784,80.75,81.29496,71.31783,65.09434,63.809524,76.530612,75.490196,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,76.92308,80,75.75758,78.26087,87.878788,95,88.235294,82.352941,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,78.57143,80,84.84848,77.77778,65.217391,78.947368,85,88.888889,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,80.74534,79.29,81.81818,85.31469,85.384615,79.6875,82.5,74.766355,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,82.35294,90.91,93.33333,85.71429,91.304348,90,63.636364,93.75,21565.8593945388,20736554.4071934
15,Edmondson Village,77.6699,76.98,83.60656,78.57143,79.2,78.070175,72.727273,77.894737,21504.5513578719,23563061.0426838
16,Fells Point,72.22222,92.31,53.84615,62.5,83.333333,72.727273,83.333333,86.666667,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,74.07407,76.42,80.17241,78.89908,82.352941,75.280899,80.645161,79.816514,36886.899781185,37200535.0297002
18,Glen-Fallstaff,79.46429,73.39,82,83.03571,83.17757,82.075472,75,77.777778,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,76.27119,76.92,77.55102,85,82.857143,83.333333,78.571429,72.727273,26454.2692113378,27051213.4555493
20,Greater Govans,83.76623,90.98,88.70968,79.54545,86.178862,81.651376,77.981651,82.4,22982.1257150065,22698495.7172767
21,Greater Mondawmin,80.15873,83.19,82.40741,84.96241,88.392857,75,85,74.712644,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,100,83.33,100,75,88.888889,92.857143,88,80,39862.7497953315,56688145.179702
23,Greater Rosemont,76.98413,77.95,82.52033,83.12236,79.047619,71.226415,76.033058,77.522936,32559.0762212062,42204384.5422658
24,Greenmount East,74.13793,72.93,83.33333,68.26923,71.287129,77.272727,74.193548,71.717172,20797.473457859,19072287.8238042
25,Hamilton,77.44361,81.4,79.31034,80.85106,80.18018,79.79798,81.15942,85.714286,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,66.66667,82.35,70.73171,68.88889,64.705882,54.545455,69.767442,72.972973,18552.4075815481,10215859.0840198
27,Harford/Echodale,84.10596,83.97,86.04651,75.78125,83.211679,82.905983,87.068966,80,40019.1854001864,65360039.1701278
